"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,8.98389E-09
0,6,2.629528E-07
0,9,1.59705E-06
0,12,5.50432E-06
0,15,1.402258E-05
0,18,2.95221E-05
0,21,5.449198E-05
0,24,9.13592E-05
0,27,0.0001423454
0,30,0.0002093558
0,33,0.0002939044
0,36,0.0003970696
0,39,0.0005194768
0,42,0.0006613085
0,45,0.0008223294
0,48,0.001001925
0,51,0.001199152
0,54,0.001412788
0,57,0.001641396
0,60,0.001883366
0,63,0.002136971
0,66,0.002400408
0,69,0.002671839
0,72,0.002949423
0,75,0.003231349
0,78,0.003515854
0,81,0.003801251
0,84,0.004085936
0,87,0.004368399
0,90,0.004647234
0,93,0.004921147
0,96,0.005188952
0,99,0.00544958
0,102,0.005702076
0,105,0.005945598
0,108,0.00617941
0,111,0.006402884
0,114,0.006615493
0,117,0.006816804
0,120,0.00700648
0,123,0.007184266
0,126,0.007349991
0,129,0.007503556
0,132,0.007644933
0,135,0.007774159
0,138,0.007891326
0,141,0.007996581
0,144,0.008090121
0,147,0.008172182
0,150,0.008243045
0,153,0.008303015
0,156,0.008352431
0,159,0.008391654
0,162,0.008421064
0,165,0.008441068
0,168,0.008452076
0,171,0.008454515
0,174,0.008448812
0,177,0.008435403
0,180,0.008414724
0,183,0.00838721
0,186,0.008353292
0,189,0.008313398
0,192,0.008267951
0,195,0.008217363
0,198,0.008162039
0,201,0.00810237
0,204,0.008038739
0,207,0.007971511
0,210,0.007901044
0,213,0.007827675
0,216,0.007751734
0,219,0.007673533
0,222,0.007593369
0,225,0.007511524
0,228,0.007428268
0,231,0.007343852
0,234,0.007258518
0,237,0.007172487
0,240,0.00708597
0,243,0.006999165
0,246,0.006912253
0,249,0.006825404
0,252,0.006738776
0,255,0.006652514
0,258,0.006566749
0,261,0.006481606
0,264,0.006397194
0,267,0.006313615
0,270,0.006230958
0,273,0.006149308
0,276,0.006068735
0,279,0.005989305
0,282,0.005911076
0,285,0.005834095
0,288,0.005758406
0,291,0.005684046
0,294,0.005611044
0,297,0.005539426
0,300,0.005469211
0,303,0.005400413
0,306,0.005333045
0,309,0.005267111
0,312,0.005202615
0,315,0.005139556
0,318,0.005077931
0,321,0.005017733
0,324,0.004958953
0,327,0.004901581
0,330,0.004845604
0,333,0.004791005
0,336,0.004737769
0,339,0.004685878
0,342,0.004635313
0,345,0.004586053
0,348,0.004538076
0,351,0.004491363
0,354,0.004445889
0,357,0.004401631
0,360,0.004358566
0,363,0.00431667
0,366,0.004275918
0,369,0.004236287
0,372,0.004197751
0,375,0.004160287
0,378,0.004123869
0,381,0.004088474
0,384,0.004054076
0,387,0.004020651
0,390,0.003988177
0,393,0.003956628
0,396,0.003925982
0,399,0.003896215
0,402,0.003867305
0,405,0.003839228
0,408,0.003811963
0,411,0.003785488
0,414,0.003759781
0,417,0.003734821
0,420,0.003710587
0,423,0.00368706
0,426,0.003664219
0,429,0.003642045
0,432,0.003620519
0,435,0.003599621
0,438,0.003579335
0,441,0.003559641
0,444,0.003540524
0,447,0.003521964
0,450,0.003503947
0,453,0.003486455
0,456,0.003469473
0,459,0.003452986
0,462,0.003436978
0,465,0.003421435
0,468,0.003406343
0,471,0.003391687
0,474,0.003377454
0,477,0.003363631
0,480,0.003350205
0,483,0.003337163
0,486,0.003324494
0,489,0.003312185
0,492,0.003300225
0,495,0.003288604
0,498,0.003277309
0,501,0.003266331
0,504,0.003255658
0,507,0.003245282
0,510,0.003235193
0,513,0.00322538
0,516,0.003215835
0,519,0.003206549
0,522,0.003197514
0,525,0.00318872
0,528,0.003180161
0,531,0.003171827
0,534,0.003163712
0,537,0.003155807
0,540,0.003148106
0,543,0.003140601
0,546,0.003133286
0,549,0.003126155
0,552,0.0031192
0,555,0.003112416
0,558,0.003105796
0,561,0.003099335
0,564,0.003093026
0,567,0.003086865
0,570,0.003080847
0,573,0.003074965
0,576,0.003069215
0,579,0.003063593
0,582,0.003058092
0,585,0.00305271
0,588,0.00304744
0,591,0.00304228
0,594,0.003037225
0,597,0.00303227
0,600,0.003027413
0,603,0.003022648
0,606,0.003017973
0,609,0.003013384
0,612,0.003008877
0,615,0.003004449
0,618,0.003000097
0,621,0.002995817
0,624,0.002991607
0,627,0.002987464
0,630,0.002983385
0,633,0.002979366
0,636,0.002975406
0,639,0.002971502
0,642,0.002967651
0,645,0.00296385
0,648,0.002960098
0,651,0.002956392
0,654,0.002952729
0,657,0.002949109
0,660,0.002945527
0,663,0.002941984
0,666,0.002938476
0,669,0.002935002
0,672,0.002931559
0,675,0.002928147
0,678,0.002924763
0,681,0.002921406
0,684,0.002918073
0,687,0.002914765
0,690,0.002911478
0,693,0.002908212
0,696,0.002904964
0,699,0.002901735
0,702,0.002898522
0,705,0.002895324
0,708,0.00289214
0,711,0.002888968
0,714,0.002885808
0,717,0.002882658
0,720,0.002879518
0,723,0.002876385
0,726,0.00287326
0,729,0.002870141
0,732,0.002867027
0,735,0.002863917
0,738,0.002860811
0,741,0.002857707
0,744,0.002854605
0,747,0.002851504
0,750,0.002848402
0,753,0.0028453
0,756,0.002842197
0,759,0.002839091
0,762,0.002835983
0,765,0.002832871
0,768,0.002829755
0,771,0.002826634
0,774,0.002823508
0,777,0.002820376
0,780,0.002817237
0,783,0.002814091
0,786,0.002810938
0,789,0.002807777
0,792,0.002804607
0,795,0.002801428
0,798,0.00279824
0,801,0.002795042
0,804,0.002791834
0,807,0.002788614
0,810,0.002785384
0,813,0.002782143
0,816,0.00277889
0,819,0.002775624
0,822,0.002772347
0,825,0.002769056
0,828,0.002765752
0,831,0.002762435
