"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,1.161395E-06
0,6,1.427611E-05
0,9,5.23024E-05
0,12,0.0001259286
0,15,0.000243488
0,18,0.0004104814
0,21,0.0006297037
0,24,0.0009016122
0,27,0.001224744
0,30,0.001596122
0,33,0.002011638
0,36,0.002466397
0,39,0.002955016
0,42,0.003471885
0,45,0.004011367
0,48,0.004567966
0,51,0.005136445
0,54,0.005711909
0,57,0.006289865
0,60,0.006866247
0,63,0.007437431
0,66,0.00800023
0,69,0.008551884
0,72,0.009090038
0,75,0.009612712
0,78,0.01011828
0,81,0.01060544
0,84,0.01107317
0,87,0.01152071
0,90,0.01194754
0,93,0.01235334
0,96,0.01273796
0,99,0.01310141
0,102,0.01344384
0,105,0.0137655
0,108,0.01406674
0,111,0.01434799
0,114,0.01460973
0,117,0.01485251
0,120,0.01507692
0,123,0.01528357
0,126,0.01547308
0,129,0.01564612
0,132,0.01580334
0,135,0.0159454
0,138,0.01607295
0,141,0.01618667
0,144,0.01628718
0,147,0.01637513
0,150,0.01645113
0,153,0.01651579
0,156,0.01656971
0,159,0.01661345
0,162,0.01664756
0,165,0.01667259
0,168,0.01668904
0,171,0.01669742
0,174,0.0166982
0,177,0.01669184
0,180,0.01667877
0,183,0.01665942
0,186,0.01663419
0,189,0.01660346
0,192,0.0165676
0,195,0.01652696
0,198,0.01648186
0,201,0.01643262
0,204,0.01637954
0,207,0.0163229
0,210,0.01626298
0,213,0.01620002
0,216,0.01613428
0,219,0.01606597
0,222,0.01599532
0,225,0.01592253
0,228,0.01584779
0,231,0.01577128
0,234,0.01569318
0,237,0.01561364
0,240,0.01553281
0,243,0.01545085
0,246,0.01536788
0,249,0.01528402
0,252,0.01519941
0,255,0.01511414
0,258,0.01502832
0,261,0.01494204
0,264,0.01485541
0,267,0.01476849
0,270,0.01468138
0,273,0.01459414
0,276,0.01450684
0,279,0.01441955
0,282,0.01433232
0,285,0.01424522
0,288,0.01415828
0,291,0.01407156
0,294,0.01398511
0,297,0.01389895
0,300,0.01381314
0,303,0.0137277
0,306,0.01364266
0,309,0.01355806
0,312,0.01347392
0,315,0.01339026
0,318,0.01330711
0,321,0.01322448
0,324,0.0131424
0,327,0.01306088
0,330,0.01297993
0,333,0.01289958
0,336,0.01281982
0,339,0.01274067
0,342,0.01266214
0,345,0.01258424
0,348,0.01250698
0,351,0.01243035
0,354,0.01235437
0,357,0.01227903
0,360,0.01220435
0,363,0.01213032
0,366,0.01205695
0,369,0.01198424
0,372,0.01191218
0,375,0.01184078
0,378,0.01177004
0,381,0.01169996
0,384,0.01163052
0,387,0.01156174
0,390,0.01149361
0,393,0.01142613
0,396,0.01135929
0,399,0.0112931
0,402,0.01122754
0,405,0.01116261
0,408,0.01109831
0,411,0.01103464
0,414,0.01097159
0,417,0.01090916
0,420,0.01084733
0,423,0.01078612
0,426,0.0107255
0,429,0.01066549
0,432,0.01060606
0,435,0.01054722
0,438,0.01048896
0,441,0.01043128
0,444,0.01037417
0,447,0.01031762
0,450,0.01026164
0,453,0.0102062
0,456,0.01015132
0,459,0.01009697
0,462,0.01004317
0,465,0.009989896
0,468,0.009937149
0,471,0.009884921
0,474,0.009833209
0,477,0.009782007
0,480,0.009731309
0,483,0.009681108
0,486,0.009631401
0,489,0.009582181
0,492,0.009533443
0,495,0.009485182
0,498,0.009437392
0,501,0.009390068
0,504,0.009343205
0,507,0.009296797
0,510,0.009250839
