"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,1.25201E-05
0,12,0.000102943
0,18,0.0003182786
0,24,0.0006679356
0,30,0.001133787
0,36,0.001682594
0,42,0.002275778
0,48,0.002876223
0,54,0.003452325
0,60,0.003979797
0,66,0.004441933
0,72,0.004828979
0,78,0.005137037
0,84,0.005366842
0,90,0.005522552
0,96,0.005610651
0,102,0.005639025
0,108,0.005616206
0,114,0.0055508
0,120,0.005451065
0,126,0.005324634
0,132,0.005178345
0,138,0.005018168
0,144,0.004849183
0,150,0.004675618
0,156,0.00450091
0,162,0.004327778
0,168,0.004158317
0,174,0.003994086
0,180,0.003836191
0,186,0.003685372
0,192,0.003542069
0,198,0.003406491
0,204,0.003278669
0,210,0.003158499
0,216,0.003045781
0,222,0.002940249
0,228,0.002841592
0,234,0.002749471
0,240,0.002663537
0,246,0.002583435
0,252,0.002508812
0,258,0.002439328
0,264,0.002374651
0,270,0.002314464
0,276,0.002258466
0,282,0.002206372
0,288,0.002157913
0,294,0.002112836
0,300,0.002070904
0,306,0.002031896
0,312,0.001995602
0,318,0.001961831
0,324,0.0019304
0,330,0.001901143
0,336,0.001873903
0,342,0.001848533
0,348,0.001824899
0,354,0.001802873
0,360,0.00178234
0,366,0.00176319
0,372,0.001745322
0,378,0.001728641
0,384,0.001713062
0,390,0.001698502
0,396,0.001684886
0,402,0.001672144
0,408,0.001660212
0,414,0.001649029
0,420,0.001638538
0,426,0.001628688
0,432,0.001619431
0,438,0.001610721
0,444,0.001602516
0,450,0.001594778
0,456,0.001587472
0,462,0.001580562
0,468,0.001574019
0,474,0.001567812
0,480,0.001561916
0,486,0.001556305
0,492,0.001550956
0,498,0.001545847
0,504,0.001540958
0,510,0.001536271
0,516,0.001531767
0,522,0.001527432
0,528,0.001523249
0,534,0.001519204
0,540,0.001515285
0,546,0.001511479
0,552,0.001507775
0,558,0.001504162
0,564,0.001500631
0,570,0.001497172
0,576,0.001493777
0,582,0.001490438
0,588,0.001487147
0,594,0.001483898
0,600,0.001480683
0,606,0.001477498
0,612,0.001474337
0,618,0.001471193
0,624,0.001468063
0,630,0.001464942
0,636,0.001461826
0,642,0.001458711
0,648,0.001455593
0,654,0.001452469
0,660,0.001449335
0,666,0.00144619
0,672,0.001443029
0,678,0.001439851
0,684,0.001436653
0,690,0.001433434
0,696,0.00143019
0,702,0.001426921
0,708,0.001423625
0,714,0.001420299
0,720,0.001416943
0,726,0.001413555
0,732,0.001410135
0,738,0.00140668
0,744,0.001403191
0,750,0.001399665
0,756,0.001396103
0,762,0.001392504
0,768,0.001388867
0,774,0.001385191
0,780,0.001381476
0,786,0.001377721
0,792,0.001373927
0,798,0.001370093
0,804,0.001366219
0,810,0.001362304
0,816,0.001358349
0,822,0.001354352
0,828,0.001350316
0,834,0.001346238
0,840,0.00134212
0,846,0.001337961
0,852,0.001333762
0,858,0.001329522
0,864,0.001325243
0,870,0.001320924
0,876,0.001316565
0,882,0.001312166
0,888,0.001307729
0,894,0.001303253
0,900,0.001298739
0,906,0.001294187
0,912,0.001289598
0,918,0.001284971
0,924,0.001280308
0,930,0.001275609
0,936,0.001270875
0,942,0.001266105
0,948,0.001261301
0,954,0.001256463
0,960,0.001251592
0,966,0.001246688
0,972,0.001241752
0,978,0.001236784
0,984,0.001231785
0,990,0.001226756
0,996,0.001221697
0,1002,0.001216609
0,1008,0.001211492
0,1014,0.001206348
0,1020,0.001201176
0,1026,0.001195978
0,1032,0.001190754
0,1038,0.001185504
0,1044,0.001180231
0,1050,0.001174933
0,1056,0.001169612
0,1062,0.001164268
0,1068,0.001158903
0,1074,0.001153516
0,1080,0.001148109
0,1086,0.001142682
0,1092,0.001137236
0,1098,0.001131772
0,1104,0.00112629
0,1110,0.00112079
0,1116,0.001115275
0,1122,0.001109744
0,1128,0.001104197
0,1134,0.001098637
0,1140,0.001093063
0,1146,0.001087476
0,1152,0.001081876
0,1158,0.001076265
0,1164,0.001070643
0,1170,0.00106501
0,1176,0.001059368
0,1182,0.001053717
0,1188,0.001048058
0,1194,0.00104239
0,1200,0.001036716
0,1206,0.001031035
0,1212,0.001025349
0,1218,0.001019657
0,1224,0.001013961
0,1230,0.00100826
0,1236,0.001002557
0,1242,0.0009968501
0,1248,0.0009911414
0,1254,0.0009854311
0,1260,0.0009797199
0,1266,0.0009740082
0,1272,0.0009682966
0,1278,0.0009625858
0,1284,0.0009568762
0,1290,0.0009511685
0,1296,0.000945463
0,1302,0.0009397605
0,1308,0.0009340614
0,1314,0.0009283663
0,1320,0.0009226757
0,1326,0.0009169899
0,1332,0.0009113097
0,1338,0.0009056355
0,1344,0.0008999677
0,1350,0.0008943068
0,1356,0.0008886533
0,1362,0.0008830078
0,1368,0.0008773705
0,1374,0.0008717421
0,1380,0.000866123
0,1386,0.0008605134
0,1392,0.000854914
0,1398,0.0008493251
0,1404,0.0008437472
0,1410,0.0008381806
0,1416,0.0008326258
0,1422,0.0008270831
0,1428,0.0008215529
0,1434,0.0008160357
0,1440,0.0008105318
0,1446,0.0008050416
0,1452,0.0007995654
0,1458,0.0007941035
0,1464,0.0007886564
0,1470,0.0007832244
0,1476,0.0007778077
0,1482,0.0007724068
0,1488,0.0007670218
0,1494,0.0007616532
0,1500,0.0007563013
0,1506,0.0007509664
0,1512,0.0007456486
0,1518,0.0007403485
0,1524,0.0007350661
0,1530,0.0007298018
0,1536,0.0007245557
0,1542,0.0007193284
0,1548,0.0007141199
0,1554,0.0007089304
0,1560,0.0007037603
0,1566,0.0006986098
0,1572,0.0006934791
0,1578,0.0006883683
0,1584,0.0006832779
0,1590,0.0006782078
0,1596,0.0006731584
0,1602,0.0006681299
0,1608,0.0006631224
0,1614,0.0006581361
0,1620,0.0006531712
0,1626,0.0006482279
0,1632,0.0006433063
0,1638,0.0006384067
0,1644,0.000633529
0,1650,0.0006286736
0,1656,0.0006238406
0,1662,0.0006190301
0,1668,0.0006142422
0,1674,0.0006094772
0,1680,0.0006047349
0,1686,0.0006000157
0,1692,0.0005953197
0,1698,0.0005906469
0,1704,0.0005859975
0,1710,0.0005813715
0,1716,0.0005767692
0,1722,0.0005721904
0,1728,0.0005676354
0,1734,0.0005631042
0,1740,0.0005585969
0,1746,0.0005541136
0,1752,0.0005496544
0,1758,0.0005452192
0,1764,0.0005408083
0,1770,0.0005364215
0,1776,0.0005320591
0,1782,0.000527721
0,1788,0.0005234072
0,1794,0.000519118
0,1800,0.0005148532
0,1806,0.0005106129
0,1812,0.0005063971
0,1818,0.0005022059
0,1824,0.0004980392
0,1830,0.0004938972
0,1836,0.0004897799
0,1842,0.0004856871
0,1848,0.000481619
0,1854,0.0004775756
0,1860,0.0004735567
0,1866,0.0004695626
0,1872,0.0004655932
0,1878,0.0004616484
0,1884,0.0004577282
0,1890,0.0004538327
0,1896,0.0004499618
0,1902,0.0004461155
0,1908,0.0004422937
0,1914,0.0004384966
0,1920,0.000434724
0,1926,0.0004309759
0,1932,0.0004272522
0,1938,0.000423553
0,1944,0.0004198783
0,1950,0.0004162278
0,1956,0.0004126018
0,1962,0.000409
0,1968,0.0004054225
0,1974,0.0004018692
0,1980,0.00039834
0,1986,0.0003948349
0,1992,0.0003913539
0,1998,0.0003878968
0,2004,0.0003844638
0,2010,0.0003810545
0,2016,0.0003776691
0,2022,0.0003743075
0,2028,0.0003709695
0,2034,0.0003676552
0,2040,0.0003643644
0,2046,0.0003610971
0,2052,0.0003578532
0,2058,0.0003546327
0,2064,0.0003514354
0,2070,0.0003482614
0,2076,0.0003451104
0,2082,0.0003419825
0,2088,0.0003388775
0,2094,0.0003357954
0,2100,0.0003327361
0,2106,0.0003296995
0,2112,0.0003266855
0,2118,0.0003236941
0,2124,0.0003207251
0,2130,0.0003177785
0,2136,0.0003148542
0,2142,0.000311952
0,2148,0.0003090719
0,2154,0.0003062138
0,2160,0.0003033776
