"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Dextrorphan-total Plasma (Peripheral Venous Blood) [kg/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0,0
0,3,2.311285E-06,7.208759E-06,1.872695E-12,6.751618E-08
0,6,2.476087E-05,0.0001504565,4.054968E-11,7.097493E-06
0,9,8.533919E-05,0.0006433652,1.84081E-10,7.187336E-05
0,12,0.0001976206,0.001601698,4.928725E-10,0.0003133373
0,15,0.0003710245,0.003055984,1.016651E-09,0.0008941687
0,18,0.0006106091,0.004982986,1.792581E-09,0.001982011
0,21,0.0009176237,0.007333104,2.844497E-09,0.003719067
0,24,0.001290219,0.01004762,4.183303E-09,0.006206425
0,27,0.001724122,0.01306667,5.80818E-09,0.009500759
0,30,0.002213252,0.01633261,7.708478E-09,0.01361835
0,33,0.002750275,0.01979148,9.86595E-09,0.01854224
0,36,0.003327092,0.02339384,1.225698E-08,0.02423013
0,39,0.003935257,0.02709523,1.485459E-08,0.03062164
0,42,0.004566318,0.03085632,1.763008E-08,0.03764461
0,45,0.005212079,0.03464279,2.055436E-08,0.04522028
0,48,0.005864805,0.03842512,2.359888E-08,0.05326732
0,51,0.006517351,0.04217819,2.673638E-08,0.06170487
0,54,0.007163252,0.04588081,2.994129E-08,0.07045478
0,57,0.007796765,0.04951529,3.319003E-08,0.07944314
0,60,0.008412884,0.05306692,3.646111E-08,0.08860113
0,63,0.009007323,0.05652359,3.973514E-08,0.09786559
0,66,0.009576497,0.05987535,4.29948E-08,0.1071791
0,69,0.01011747,0.06311414,4.62247E-08,0.1164899
0,72,0.01062793,0.0662334,4.941123E-08,0.1257518
0,75,0.01110609,0.06922796,5.254248E-08,0.1349236
0,78,0.01155071,0.07209368,5.560799E-08,0.1439688
0,81,0.01196097,0.07482742,5.859867E-08,0.1528552
0,84,0.01233645,0.07742679,6.150664E-08,0.1615546
0,87,0.01267711,0.07989011,6.432509E-08,0.1700422
0,90,0.01298318,0.08221627,6.704817E-08,0.1782965
0,93,0.01325517,0.08440471,6.96709E-08,0.1862985
0,96,0.01349382,0.08645529,7.218905E-08,0.1940322
0,99,0.01370004,0.0883683,7.459912E-08,0.2014833
0,102,0.01387489,0.09014446,7.68982E-08,0.2086402
0,105,0.01401958,0.09178476,7.908399E-08,0.2154927
0,108,0.01413539,0.0932906,8.115468E-08,0.2220324
0,111,0.01422369,0.09466369,8.310898E-08,0.2282527
0,114,0.01428591,0.09590603,8.494604E-08,0.2341482
0,117,0.01432349,0.09701996,8.666547E-08,0.239715
0,120,0.01433791,0.09800809,8.826724E-08,0.2449505
0,123,0.01433065,0.09887336,8.975177E-08,0.2498532
0,126,0.01430319,0.09961899,9.11198E-08,0.2544231
0,129,0.01425698,0.1002484,9.237248E-08,0.2586608
0,132,0.01419346,0.1007655,9.351128E-08,0.2625685
0,135,0.01411403,0.1011742,9.4538E-08,0.2661491
0,138,0.01402004,0.1014787,9.545477E-08,0.2694067
0,141,0.01391282,0.1016835,9.626402E-08,0.2723462
0,144,0.01379364,0.1017932,9.696848E-08,0.2749736
0,147,0.0136637,0.1018127,9.75711E-08,0.2772956
0,150,0.01352417,0.1017469,9.807513E-08,0.2793197
0,153,0.01337616,0.1016009,9.8484E-08,0.2810545
0,156,0.01322071,0.1013796,9.880138E-08,0.2825089
0,159,0.01305882,0.1010884,9.903107E-08,0.2836925
0,162,0.01289141,0.1007323,9.917704E-08,0.2846158
0,165,0.01271937,0.1003165,9.924339E-08,0.2852894
0,168,0.01254351,0.09984607,9.923431E-08,0.2857245
0,171,0.01236459,0.09932601,9.915403E-08,0.2859327
0,174,0.01218332,0.09876119,9.900685E-08,0.2859257
0,177,0.01200036,0.09815639,9.879707E-08,0.2857154
0,180,0.01181629,0.09751619,9.8529E-08,0.285314
0,183,0.01163169,0.09684506,9.820688E-08,0.2847335
0,186,0.01144704,0.09614723,9.783492E-08,0.2839861
0,189,0.01126281,0.09542677,9.741726E-08,0.2830838
0,192,0.01107943,0.0946875,9.695792E-08,0.2820383
0,195,0.01089725,0.09393307,9.646083E-08,0.2808613
0,198,0.01071662,0.09316688,9.592979E-08,0.2795642
0,201,0.01053784,0.09239211,9.536847E-08,0.2781579
0,204,0.01036117,0.09161173,9.478038E-08,0.2766533
0,207,0.01018684,0.09082846,9.416887E-08,0.2750606
0,210,0.01001506,0.09004483,9.353715E-08,0.2733897
0,213,0.00984601,0.08926312,9.288824E-08,0.2716501
0,216,0.009679829,0.08848541,9.2225E-08,0.2698509
0,219,0.009516646,0.08771359,9.155012E-08,0.2680004
0,222,0.009356566,0.08694933,9.08661E-08,0.266107
0,225,0.009199671,0.08619411,9.017528E-08,0.2641781
0,228,0.009046029,0.08544925,8.947984E-08,0.2622208
0,231,0.008895688,0.08471586,8.878176E-08,0.2602418
0,234,0.00874868,0.08399492,8.808288E-08,0.2582473
0,237,0.008605029,0.08328724,8.738487E-08,0.2562429
0,240,0.008464742,0.0825935,8.668926E-08,0.2542339
0,243,0.008327816,0.08191425,8.599741E-08,0.252225
0,246,0.008194239,0.08124989,8.531057E-08,0.2502206
0,249,0.008063992,0.08060076,8.462981E-08,0.2482247
0,252,0.007937044,0.07996707,8.395612E-08,0.2462408
0,255,0.007813363,0.07934893,8.329035E-08,0.2442721
0,258,0.007692909,0.07874639,8.263324E-08,0.2423215
0,261,0.007575636,0.07815944,8.198541E-08,0.2403913
0,264,0.007461495,0.07758796,8.134742E-08,0.2384839
0,267,0.007350435,0.07703184,8.071972E-08,0.2366011
0,270,0.007242398,0.07649088,8.010266E-08,0.2347445
0,273,0.007137328,0.07596484,7.949656E-08,0.2329156
0,276,0.007035166,0.07545348,7.890163E-08,0.2311154
0,279,0.006935848,0.07495648,7.831805E-08,0.2293449
0,282,0.006839316,0.07447356,7.774594E-08,0.2276049
0,285,0.006745504,0.07400438,7.718534E-08,0.2258959
0,288,0.00665435,0.07354859,7.663629E-08,0.2242184
0,291,0.006565789,0.07310585,7.609877E-08,0.2225726
