"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Dextromethorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|PeripheralVenousBlood|Dextrorphan|Dextrorphan-total Plasma (Peripheral Venous Blood) [kg/l]","Organism|PeripheralVenousBlood|Dextrorphan-O-glucuronide|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0,0,0,0
0,3,1.124299E-05,8.799582E-05,2.283974E-11,7.469931E-07
0,6,0.0001280777,0.001818271,4.897365E-10,8.457865E-05
0,9,0.000449249,0.006980104,2.010519E-09,0.0008316805
0,12,0.001057849,0.01537511,4.832569E-09,0.003401626
0,15,0.002023763,0.02631526,9.096534E-09,0.00902893
0,18,0.003395698,0.03928948,1.491405E-08,0.01865842
0,21,0.005198751,0.05395976,2.234525E-08,0.03286174
0,24,0.007435431,0.07007886,3.139139E-08,0.05189104
0,27,0.0100885,0.08744968,4.200659E-08,0.0757651
0,30,0.01312469,0.1059089,5.411358E-08,0.1043471
0,33,0.01649865,0.1253184,6.761704E-08,0.1374047
0,36,0.02015683,0.1455592,8.24129E-08,0.1746526
0,39,0.02404097,0.1665243,9.839415E-08,0.2157819
0,42,0.02809098,0.1881141,1.15454E-07,0.2604775
0,45,0.03224743,0.2102321,1.334874E-07,0.3084276
0,48,0.03645333,0.2327833,1.523917E-07,0.3593282
0,51,0.04065552,0.2556739,1.720667E-07,0.4128838
0,54,0.04480558,0.2788115,1.924145E-07,0.4688068
0,57,0.04886039,0.3021061,2.133398E-07,0.5268167
0,60,0.05278238,0.325471,2.347497E-07,0.586639
0,63,0.0565396,0.3488241,2.565541E-07,0.6480057
0,66,0.06010554,0.3720878,2.786656E-07,0.7106552
0,69,0.06345889,0.3951903,3.010002E-07,0.7743331
0,72,0.06658316,0.418065,3.234777E-07,0.8387935
0,75,0.0694663,0.4406513,3.460213E-07,0.9037996
0,78,0.07210026,0.4628938,3.685587E-07,0.9691252
0,81,0.07448054,0.4847428,3.910218E-07,1.034555
0,84,0.07660576,0.5061538,4.133466E-07,1.099887
0,87,0.0784772,0.5270872,4.354742E-07,1.164929
0,90,0.08009849,0.5475084,4.573499E-07,1.229505
0,93,0.0814751,0.5673874,4.789234E-07,1.293449
0,96,0.08261414,0.5866987,5.001491E-07,1.356609
0,99,0.08352397,0.6054208,5.209857E-07,1.418847
0,102,0.08421393,0.6235361,5.413962E-07,1.480035
0,105,0.08469412,0.6410304,5.613476E-07,1.540061
0,108,0.08497522,0.6578934,5.808109E-07,1.598822
0,111,0.0850682,0.6741171,5.997608E-07,1.656227
0,114,0.08498427,0.6896968,6.181756E-07,1.712198
0,117,0.08473469,0.7046298,6.36037E-07,1.766664
0,120,0.08433069,0.7189159,6.533294E-07,1.819567
0,123,0.08378332,0.7325565,6.700406E-07,1.870857
0,126,0.08310345,0.7455547,6.861605E-07,1.920492
