"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Paroxetine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,2.231085E-18
0,12,4.395172E-15
0,18,3.086576E-13
0,24,5.705937E-12
0,30,5.146024E-11
0,36,2.970258E-10
0,42,1.266756E-09
0,48,4.346812E-09
0,54,1.267255E-08
0,60,3.256117E-08
0,66,7.566009E-08
0,72,1.61992E-07
0,78,3.240826E-07
0,84,6.123597E-07
0,90,1.10201E-06
0,96,1.901481E-06
0,102,3.162824E-06
0,108,5.094071E-06
0,114,7.973884E-06
0,120,1.216873E-05
0,126,1.815291E-05
0,132,2.653178E-05
0,138,3.806853E-05
0,144,5.371483E-05
0,150,7.464534E-05
0,156,0.0001022956
0,162,0.0001384019
0,168,0.0001850412
0,174,0.0002446679
0,180,0.0003201429
0,186,0.0004147539
0,192,0.0005322229
0,198,0.0006766998
0,204,0.000852744
0,210,0.00106529
0,216,0.001319598
0,222,0.001621177
0,228,0.00197569
0,234,0.00238881
0,240,0.002866051
0,246,0.003412546
0,252,0.004032783
0,258,0.004730312
0,264,0.005507418
0,270,0.006364788
0,276,0.007301191
0,282,0.0083132
0,288,0.009395
0,294,0.0105383
0,300,0.01173241
0,306,0.0129645
0,312,0.01422005
0,318,0.01548345
0,324,0.01673883
0,330,0.01797086
0,336,0.01916566
0,342,0.02031151
0,348,0.02139942
0,354,0.02242341
0,360,0.02338048
0,366,0.02427035
0,372,0.02509491
0,378,0.02585766
0,384,0.02656302
0,390,0.02721579
0,396,0.02782075
0,402,0.02838231
0,408,0.02890444
0,414,0.02939059
0,420,0.0298437
0,426,0.03026628
0,432,0.03066049
0,438,0.03102817
0,444,0.03137093
0,450,0.03169018
0,456,0.03198717
0,462,0.03226304
0,468,0.03251882
0,474,0.03275545
0,480,0.0329738
0,486,0.0331747
0,492,0.03335891
0,498,0.03352718
0,504,0.03368018
0,510,0.03381858
0,516,0.03394302
0,522,0.03405411
0,528,0.03415242
0,534,0.03423853
0,540,0.03431297
0,546,0.03437628
0,552,0.03442895
0,558,0.03447149
0,564,0.03450435
0,570,0.03452801
0,576,0.03454289
0,582,0.03454943
0,588,0.03454804
0,594,0.03453911
0,600,0.03452304
0,606,0.03450017
0,612,0.03447089
0,618,0.03443551
0,624,0.03439439
0,630,0.03434782
0,636,0.03429613
0,642,0.03423959
0,648,0.03417849
0,654,0.03411311
0,660,0.03404369
0,666,0.03397049
0,672,0.03389375
0,678,0.03381369
0,684,0.03373053
0,690,0.03364447
0,696,0.03355572
0,702,0.03346447
0,708,0.03337089
0,714,0.03327515
0,720,0.03317744
0,726,0.03307788
0,732,0.03297665
0,738,0.03287387
0,744,0.03276969
0,750,0.03266423
0,756,0.03255761
0,762,0.03244995
0,768,0.03234136
0,774,0.03223193
0,780,0.03212178
0,786,0.03201098
0,792,0.03189963
0,798,0.03178781
0,804,0.0316756
0,810,0.03156307
0,816,0.03145029
0,822,0.03133732
0,828,0.03122424
0,834,0.03111108
0,840,0.03099792
0,846,0.03088479
0,852,0.03077175
0,858,0.03065885
0,864,0.03054611
0,870,0.03043359
0,876,0.03032131
0,882,0.03020931
0,888,0.03009763
0,894,0.02998628
0,900,0.0298753
0,906,0.02976472
0,912,0.02965455
0,918,0.02954481
0,924,0.02943554
0,930,0.02932673
0,936,0.02921841
0,942,0.0291106
0,948,0.0290033
0,954,0.02889653
0,960,0.0287903
0,966,0.02868462
0,972,0.02857949
0,978,0.02847493
0,984,0.02837094
0,990,0.02826752
0,996,0.02816469
0,1002,0.02806244
0,1008,0.02796078
0,1014,0.0278597
0,1020,0.02775922
0,1026,0.02765933
0,1032,0.02756004
0,1038,0.02746133
0,1044,0.02736322
0,1050,0.0272657
0,1056,0.02716877
0,1062,0.02707243
0,1068,0.02697667
0,1074,0.02688149
0,1080,0.0267869
0,1086,0.02669288
0,1092,0.02659943
0,1098,0.02650655
0,1104,0.02641424
0,1110,0.02632249
0,1116,0.0262313
0,1122,0.02614065
0,1128,0.02605056
