"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Paroxetine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,1.403573E-21
0,6,3.521044E-18
0,9,2.849826E-16
0,12,5.974098E-15
0,15,6.035175E-14
0,18,3.862151E-13
0,21,1.809434E-12
0,24,6.761109E-12
0,27,2.128458E-11
0,30,5.85951E-11
0,33,1.448464E-10
0,36,3.278498E-10
0,39,6.895722E-10
0,42,1.363309E-09
0,45,2.556489E-09
0,48,4.58013E-09
0,51,7.885992E-09
0,54,1.311253E-08
0,57,2.114075E-08
0,60,3.316116E-08
0,63,5.075281E-08
0,66,7.597581E-08
0,69,1.114782E-07
0,72,1.606184E-07
0,75,2.276048E-07
0,78,3.176524E-07
0,81,4.371591E-07
0,84,5.939021E-07
0,87,7.972551E-07
0,90,1.058428E-06
0,93,1.39073E-06
0,96,1.80986E-06
0,99,2.334219E-06
0,102,2.985255E-06
0,105,3.787836E-06
0,108,4.770654E-06
0,111,5.966668E-06
0,114,7.413579E-06
0,117,9.154349E-06
0,120,1.123777E-05
0,123,1.371906E-05
0,126,1.666055E-05
0,129,2.01324E-05
0,132,2.421337E-05
0,135,2.899169E-05
0,138,3.456599E-05
0,141,4.104627E-05
0,144,4.8555E-05
0,147,5.722823E-05
0,150,6.721679E-05
0,153,7.868755E-05
0,156,9.182468E-05
0,159,0.0001068309
0,162,0.0001239289
0,165,0.000143362
0,168,0.0001653961
0,171,0.0001903198
0,174,0.0002184454
0,177,0.0002501097
0,180,0.0002856738
0,183,0.0003255236
0,186,0.0003700692
0,189,0.0004197444
0,192,0.0004750062
0,195,0.0005363337
0,198,0.000604227
0,201,0.0006792056
0,204,0.0007618076
0,207,0.0008525875
0,210,0.0009521144
0,213,0.00106097
0,216,0.001179748
0,219,0.001309046
0,222,0.001449471
0,225,0.001601627
0,228,0.001766118
0,231,0.001943538
0,234,0.002134471
0,237,0.002339478
0,240,0.002559099
0,243,0.002793841
0,246,0.00304417
0,249,0.003310504
0,252,0.003593207
0,255,0.003892575
0,258,0.004208831
0,261,0.004542114
0,264,0.004892472
0,267,0.005259849
0,270,0.005644083
0,273,0.00604489
0,276,0.006461866
0,279,0.006894478
0,282,0.007342058
0,285,0.007803804
0,288,0.00827878
0,291,0.008765914
0,294,0.009264011
0,297,0.00977175
0,300,0.0102877
