"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Paroxetine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.09181579
0,6,0.1053909
0,9,0.1156631
0,12,0.1249141
0,15,0.1334142
0,18,0.1413374
0,21,0.1488101
0,24,0.1559256
0,27,0.1627536
0,30,0.1693469
0,33,0.08392515
0,36,0.07654882
0,39,0.07229824
0,42,0.06891427
0,45,0.0661472
0,48,0.06384029
0,51,0.0618826
0,54,0.06019447
0,57,0.05871823
0,60,0.05741154
0,63,0.05624291
0,66,0.0551886
0,69,0.05423042
0,72,0.05335417
0,75,0.05254861
0,78,0.05180468
0,81,0.05111494
0,84,0.05047323
0,87,0.04987436
0,90,0.04931389
0,93,0.04878801
0,96,0.0482934
0,99,0.04782714
0,102,0.04738667
0,105,0.0469697
0,108,0.0465742
0,111,0.04619835
0,114,0.04584051
0,117,0.04549921
0,120,0.04517312
0,123,0.04486103
0,126,0.04456185
0,129,0.0442746
0,132,0.04399836
0,135,0.04373233
0,138,0.04347575
0,141,0.04322794
0,144,0.04298828
0,147,0.0427562
0,150,0.04253118
0,153,0.04231275
0,156,0.04210046
0,159,0.04189393
0,162,0.04169279
0,165,0.04149669
0,168,0.04130534
0,171,0.04111844
0,174,0.04093575
0,177,0.04075701
0,180,0.04058201
0,183,0.04041055
0,186,0.04024243
0,189,0.04007749
0,192,0.03991557
0,195,0.03975651
0,198,0.03960018
0,201,0.03944646
0,204,0.03929522
0,207,0.03914637
0,210,0.03899979
0,213,0.0388554
0,216,0.03871311
0,219,0.03857283
0,222,0.03843449
0,225,0.03829802
0,228,0.03816335
0,231,0.03803043
0,234,0.03789919
0,237,0.03776959
0,240,0.03764156
0,243,0.03751506
0,246,0.03739005
0,249,0.03726649
0,252,0.03714433
0,255,0.03702354
0,258,0.03690408
0,261,0.03678592
0,264,0.03666902
0,267,0.03655336
0,270,0.03643891
0,273,0.03632563
0,276,0.03621351
0,279,0.03610251
0,282,0.03599262
0,285,0.03588381
0,288,0.03577606
0,291,0.03566935
0,294,0.03556366
0,297,0.03545896
0,300,0.03535524
0,303,0.03525249
0,306,0.03515068
0,309,0.0350498
0,312,0.03494982
0,315,0.03485075
0,318,0.03475256
0,321,0.03465523
0,324,0.03455875
0,327,0.03446311
0,330,0.0343683
0,333,0.0342743
0,336,0.03418109
0,339,0.03408867
0,342,0.03399703
0,345,0.03390615
0,348,0.03381602
0,351,0.03372663
0,354,0.03363797
0,357,0.03355003
0,360,0.03346279
0,363,0.03337625
0,366,0.0332904
0,369,0.03320523
0,372,0.03312073
0,375,0.03303688
0,378,0.03295368
0,381,0.03287112
0,384,0.0327892
0,387,0.0327079
0,390,0.03262721
0,393,0.03254712
0,396,0.03246763
0,399,0.03238874
0,402,0.03231042
0,405,0.03223268
0,408,0.0321555
0,411,0.03207888
0,414,0.03200282
0,417,0.03192729
0,420,0.0318523
0,423,0.03177784
0,426,0.03170391
0,429,0.03163049
0,432,0.03155757
0,435,0.03148516
0,438,0.03141325
0,441,0.03134182
0,444,0.03127088
0,447,0.03120041
0,450,0.03113042
0,453,0.03106089
0,456,0.03099182
0,459,0.0309232
0,462,0.03085502
0,465,0.03078729
0,468,0.03071999
0,471,0.03065313
0,474,0.03058669
0,477,0.03052066
0,480,0.03045506
0,483,0.03038986
0,486,0.03032506
0,489,0.03026067
0,492,0.03019667
0,495,0.03013305
0,498,0.03006982
0,501,0.03000697
0,504,0.0299445
0,507,0.0298824
0,510,0.02982066
0,513,0.02975928
0,516,0.02969826
0,519,0.02963759
0,522,0.02957727
0,525,0.02951729
0,528,0.02945765
0,531,0.02939835
0,534,0.02933938
0,537,0.02928074
0,540,0.02922242
0,543,0.02916443
0,546,0.02910674
0,549,0.02904937
0,552,0.02899231
0,555,0.02893556
0,558,0.0288791
0,561,0.02882294
0,564,0.02876708
0,567,0.02871151
0,570,0.02865622
0,573,0.02860122
0,576,0.0285465
0,579,0.02849206
0,582,0.02843789
0,585,0.02838399
0,588,0.02833036
0,591,0.028277
0,594,0.02822389
0,597,0.02817105
0,600,0.02811846
0,603,0.02806613
0,606,0.02801405
0,609,0.02796221
0,612,0.02791061
0,615,0.02785926
0,618,0.02780815
0,621,0.02775728
0,624,0.02770664
0,627,0.02765623
0,630,0.02760605
0,633,0.02755609
0,636,0.02750636
0,639,0.02745685
0,642,0.02740756
0,645,0.02735848
0,648,0.02730962
0,651,0.02726097
0,654,0.02721253
0,657,0.0271643
0,660,0.02711627
0,663,0.02706845
0,666,0.02702083
0,669,0.0269734
0,672,0.02692617
0,675,0.02687914
0,678,0.0268323
0,681,0.02678564
0,684,0.02673918
0,687,0.0266929
0,690,0.02664681
0,693,0.0266009
0,696,0.02655517
0,699,0.02650962
0,702,0.02646425
0,705,0.02641905
0,708,0.02637402
0,711,0.02632917
0,714,0.02628449
0,717,0.02623997
0,720,0.02619562
0,723,0.02615144
0,726,0.02610742
0,729,0.02606356
0,732,0.02601986
0,735,0.02597632
0,738,0.02593294
0,741,0.02588971
0,744,0.02584663
0,747,0.02580371
0,750,0.02576094
0,753,0.02571832
0,756,0.02567585
0,759,0.02563352
0,762,0.02559134
0,765,0.0255493
0,768,0.02550741
0,771,0.02546565
0,774,0.02542404
0,777,0.02538257
0,780,0.02534123
0,783,0.02530003
0,786,0.02525896
0,789,0.02521803
0,792,0.02517723
0,795,0.02513656
0,798,0.02509602
0,801,0.02505561
0,804,0.02501533
0,807,0.02497518
0,810,0.02493514
0,813,0.02489524
0,816,0.02485546
