"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Paroxetine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,0.0002111
0,12,0.001158536
0,18,0.002742299
0,24,0.004645583
0,30,0.006605266
0,36,0.008467882
0,42,0.01016243
0,48,0.0116667
0,54,0.01298409
0,60,0.01412984
0,66,0.01512354
0,72,0.01598524
0,78,0.01673357
0,84,0.01738501
0,90,0.01795372
0,96,0.01845163
0,102,0.01888872
0,108,0.01927331
0,114,0.01961226
0,120,0.01991131
0,126,0.02017521
0,132,0.02040796
0,138,0.02061291
0,144,0.02079288
0,150,0.02095031
0,156,0.02108726
0,162,0.02120554
0,168,0.0213067
0,174,0.02139215
0,180,0.02146309
0,186,0.02152061
0,192,0.0215657
0,198,0.02159923
0,204,0.02162202
0,210,0.02163479
0,216,0.02163823
0,222,0.02163295
0,228,0.02161954
0,234,0.02159852
0,240,0.0215704
0,246,0.02153565
0,252,0.02149469
0,258,0.02144794
0,264,0.02139579
0,270,0.02133859
0,276,0.02127669
0,282,0.02121041
0,288,0.02114005
0,294,0.0210659
0,300,0.02098823
0,306,0.02090729
0,312,0.02082334
0,318,0.02073659
0,324,0.02064726
0,330,0.02055557
0,336,0.02046169
0,342,0.02036583
0,348,0.02026814
0,354,0.0201688
0,360,0.02006796
0,366,0.01996577
0,372,0.01986236
0,378,0.01975786
0,384,0.01965241
0,390,0.01954611
0,396,0.01943908
0,402,0.01933142
0,408,0.01922323
0,414,0.01911459
0,420,0.01900561
0,426,0.01889635
0,432,0.01878689
0,438,0.01867732
0,444,0.01856769
0,450,0.01845806
0,456,0.01834851
0,462,0.01823907
0,468,0.01812981
0,474,0.01802078
0,480,0.01791201
0,486,0.01780356
0,492,0.01769545
0,498,0.01758773
0,504,0.01748043
0,510,0.01737358
0,516,0.01726721
0,522,0.01716135
0,528,0.01705602
0,534,0.01695125
0,540,0.01684705
0,546,0.01674344
0,552,0.01664044
0,558,0.01653807
0,564,0.01643634
0,570,0.01633526
0,576,0.01623485
0,582,0.01613511
0,588,0.01603605
0,594,0.01593768
0,600,0.01584001
0,606,0.01574304
0,612,0.01564678
0,618,0.01555122
0,624,0.01545638
0,630,0.01536226
0,636,0.01526885
0,642,0.01517616
0,648,0.01508419
0,654,0.01499293
0,660,0.01490239
0,666,0.01481256
0,672,0.01472345
0,678,0.01463504
0,684,0.01454734
0,690,0.01446035
0,696,0.01437405
0,702,0.01428845
0,708,0.01420354
0,714,0.01411932
0,720,0.01403578
0,726,0.01395291
0,732,0.01387072
0,738,0.0137892
0,744,0.01370833
0,750,0.01362812
0,756,0.01354856
0,762,0.01346964
0,768,0.01339136
0,774,0.01331372
0,780,0.01323669
0,786,0.01316028
0,792,0.01308449
0,798,0.0130093
0,804,0.01293471
0,810,0.01286071
0,816,0.0127873
0,822,0.01271447
0,828,0.01264221
0,834,0.01257052
0,840,0.01249938
0,846,0.01242881
0,852,0.01235878
0,858,0.01228928
0,864,0.01222033
0,870,0.0121519
0,876,0.01208399
0,882,0.0120166
0,888,0.01194972
0,894,0.01188335
0,900,0.01181746
0,906,0.01175207
0,912,0.01168717
0,918,0.01162275
0,924,0.01155879
0,930,0.01149531
0,936,0.01143229
0,942,0.01136972
0,948,0.01130761
0,954,0.01124594
0,960,0.01118471
0,966,0.01112392
0,972,0.01106355
0,978,0.01100361
0,984,0.01094409
0,990,0.01088498
0,996,0.01082628
0,1002,0.01076799
0,1008,0.01071009
0,1014,0.01065259
0,1020,0.01059548
0,1026,0.01053875
0,1032,0.01048241
0,1038,0.01042644
0,1044,0.01037084
0,1050,0.01031561
0,1056,0.01026074
0,1062,0.01020623
0,1068,0.01015208
0,1074,0.01009828
0,1080,0.01004482
0,1086,0.009991711
0,1092,0.009938938
0,1098,0.0098865
0,1104,0.009834395
0,1110,0.009782617
0,1116,0.009731163
0,1122,0.009680031
0,1128,0.009629215
0,1134,0.009578714
0,1140,0.009528524
0,1146,0.009478641
0,1152,0.009429062
0,1158,0.009379784
0,1164,0.009330804
0,1170,0.009282118
0,1176,0.009233724
0,1182,0.009185619
0,1188,0.0091378
0,1194,0.009090263
0,1200,0.009043008
0,1206,0.008996029
0,1212,0.008949325
0,1218,0.008902893
0,1224,0.008856731
0,1230,0.008810835
0,1236,0.008765203
0,1242,0.008719834
0,1248,0.008674723
0,1254,0.00862987
0,1260,0.00858527
0,1266,0.008540924
0,1272,0.008496827
0,1278,0.008452978
0,1284,0.008409374
0,1290,0.008366014
0,1296,0.008322895
0,1302,0.008280015
0,1308,0.008237371
0,1314,0.008194963
0,1320,0.008152789
0,1326,0.008110845
0,1332,0.008069129
0,1338,0.008027641
0,1344,0.007986378
0,1350,0.007945339
0,1356,0.007904521
0,1362,0.007863924
0,1368,0.007823545
0,1374,0.007783381
0,1380,0.007743432
0,1386,0.007703697
0,1392,0.007664172
0,1398,0.007624858
0,1404,0.007585751
0,1410,0.007546852
0,1416,0.007508157
0,1422,0.007469666
0,1428,0.007431376
0,1434,0.007393287
0,1440,0.007355398
0,1446,0.007317706
0,1452,0.00728021
0,1458,0.007242908
0,1464,0.007205801
0,1470,0.007168885
0,1476,0.00713216
0,1482,0.007095624
0,1488,0.007059277
0,1494,0.007023116
0,1500,0.006987141
0,1506,0.00695135
0,1512,0.006915743
0,1518,0.006880317
0,1524,0.006845071
0,1530,0.006810006
0,1536,0.006775118
0,1542,0.006740408
0,1548,0.006705874
0,1554,0.006671515
0,1560,0.00663733
0,1566,0.006603317
0,1572,0.006569476
0,1578,0.006535806
0,1584,0.006502305
0,1590,0.006468972
0,1596,0.006435807
0,1602,0.006402808
0,1608,0.006369975
0,1614,0.006337306
0,1620,0.006304801
0,1626,0.006272458
0,1632,0.006240277
0,1638,0.006208256
0,1644,0.006176395
0,1650,0.006144693
0,1656,0.006113148
0,1662,0.00608176
0,1668,0.006050528
0,1674,0.006019452
0,1680,0.005988529
0,1686,0.00595776
0,1692,0.005927143
0,1698,0.005896678
0,1704,0.005866364
0,1710,0.0058362
0,1716,0.005806184
0,1722,0.005776317
0,1728,0.005746597
0,1734,0.005717025
0,1740,0.005687598
0,1746,0.005658316
0,1752,0.005629178
0,1758,0.005600184
0,1764,0.005571333
0,1770,0.005542624
0,1776,0.005514056
0,1782,0.005485628
0,1788,0.005457341
0,1794,0.005429192
0,1800,0.005401182
0,1806,0.005373308
0,1812,0.005345573
0,1818,0.005317973
0,1824,0.005290508
0,1830,0.005263179
0,1836,0.005235983
0,1842,0.005208921
0,1848,0.005181991
0,1854,0.005155194
0,1860,0.005128528
0,1866,0.005101992
0,1872,0.005075587
0,1878,0.005049311
0,1884,0.005023163
0,1890,0.004997144
0,1896,0.004971252
0,1902,0.004945487
0,1908,0.004919848
0,1914,0.004894334
0,1920,0.004868946
0,1926,0.004843682
