"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Paroxetine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,6.702954E-05
0,6,0.0005291694
0,9,0.001474415
0,12,0.002875352
0,15,0.004640714
0,18,0.006652212
0,21,0.008797152
0,24,0.01098337
0,27,0.01314262
0,30,0.01522831
0,33,0.01721125
0,36,0.01907525
0,39,0.02081337
0,42,0.0224249
0,45,0.02391321
0,48,0.0252842
0,51,0.02654513
0,54,0.02770394
0,57,0.02876872
0,60,0.02974739
0,63,0.03064748
0,66,0.03147608
0,69,0.03223972
0,72,0.03294438
0,75,0.03359549
0,78,0.03419796
0,81,0.0347562
0,84,0.0352742
0,87,0.03575548
0,90,0.03620324
0,93,0.03662029
0,96,0.03700918
0,99,0.03737216
0,102,0.03771126
0,105,0.03802827
0,108,0.0383248
0,111,0.03860231
0,114,0.03886208
0,117,0.03910529
0,120,0.03933298
0,135,0.04026885
0,150,0.04092719
0,165,0.04136677
0,180,0.04162831
0,195,0.04174209
0,210,0.0417319
0,225,0.04161725
0,240,0.04141458
0,255,0.04113795
0,270,0.04079955
0,285,0.04040997
0,300,0.0399784
0,315,0.03951287
0,330,0.03902035
0,345,0.03850689
0,360,0.0379777
0,375,0.03743727
0,390,0.03688946
0,405,0.03633756
0,420,0.03578435
0,435,0.03523219
0,450,0.03468302
0,465,0.03413849
0,480,0.03359993
0,495,0.03306842
0,510,0.03254482
0,525,0.0320298
0,540,0.03152387
0,555,0.03102741
0,570,0.03054065
0,585,0.03006376
0,600,0.02959679
0,615,0.02913974
0,630,0.02869255
0,645,0.0282551
0,660,0.02782724
0,675,0.0274088
0,690,0.02699956
0,705,0.02659929
0,720,0.02620777
0,735,0.02582473
0,750,0.02544993
0,765,0.02508311
0,780,0.02472401
0,795,0.02437237
0,810,0.02402794
0,825,0.02369047
0,840,0.02335973
0,855,0.02303546
0,870,0.02271745
0,885,0.02240547
0,900,0.02209931
0,915,0.02179877
0,930,0.02150363
0,945,0.02121373
0,960,0.02092887
0,975,0.02064889
0,990,0.02037362
0,1005,0.02010289
0,1020,0.01983657
0,1035,0.01957451
0,1050,0.01931658
0,1065,0.01906264
0,1080,0.01881257
0,1095,0.01856626
0,1110,0.0183236
0,1125,0.01808448
0,1140,0.0178488
0,1155,0.01761647
0,1170,0.0173874
0,1185,0.01716151
0,1200,0.0169387
0,1215,0.01671892
0,1230,0.01650208
0,1245,0.01628812
0,1260,0.01607696
0,1275,0.01586856
0,1290,0.01566284
0,1305,0.01545975
0,1320,0.01525925
0,1335,0.01506126
0,1350,0.01486576
0,1365,0.01467269
0,1380,0.01448201
0,1395,0.01429367
0,1410,0.01410764
0,1425,0.01392387
0,1440,0.01374233
0,1455,0.01356298
0,1470,0.01338579
0,1485,0.01321073
0,1500,0.01303776
0,1515,0.01286685
0,1530,0.01269798
0,1545,0.01253111
0,1560,0.01236622
0,1575,0.01220328
0,1590,0.01204227
0,1605,0.01188316
0,1620,0.01172592
0,1635,0.01157054
0,1650,0.01141699
0,1665,0.01126524
0,1680,0.01111529
0,1695,0.0109671
0,1710,0.01082065
0,1725,0.01067593
0,1740,0.01053291
0,1755,0.01039158
0,1770,0.01025192
0,1785,0.01011391
0,1800,0.00997753
0,1815,0.009842762
0,1830,0.00970959
0,1845,0.009577997
0,1860,0.009447967
0,1875,0.009319481
0,1890,0.009192526
0,1905,0.009067084
0,1920,0.00894314
0,1935,0.008820676
0,1950,0.008699681
0,1965,0.008580136
0,1980,0.008462029
0,1995,0.008345343
0,2010,0.008230065
0,2025,0.00811618
0,2040,0.008003674
0,2055,0.007892531
0,2070,0.007782741
0,2085,0.007674287
0,2100,0.007567157
0,2115,0.007461336
0,2130,0.007356812
0,2145,0.007253572
0,2160,0.007151602
0,2175,0.00705089
0,2190,0.006951422
0,2205,0.006853187
0,2220,0.00675617
0,2235,0.006660361
0,2250,0.006565746
0,2265,0.006472313
0,2280,0.00638005
0,2295,0.006288946
0,2310,0.006198987
0,2325,0.006110163
0,2340,0.006022462
0,2355,0.005935871
0,2370,0.005850379
0,2385,0.005765975
0,2400,0.005682648
0,2415,0.005600386
0,2430,0.005519178
0,2445,0.005439013
0,2460,0.005359879
0,2475,0.005281767
0,2490,0.005204664
0,2505,0.005128561
0,2520,0.005053447
0,2535,0.004979311
0,2550,0.004906142
0,2565,0.00483393
0,2580,0.004762665
0,2595,0.004692337
0,2610,0.004622934
0,2625,0.004554448
0,2640,0.004486869
0,2655,0.004420185
0,2670,0.004354388
0,2685,0.004289467
0,2700,0.004225413
0,2715,0.004162217
0,2730,0.004099868
0,2745,0.004038357
0,2760,0.003977675
0,2775,0.003917812
0,2790,0.003858759
0,2805,0.003800508
0,2820,0.003743048
0,2835,0.003686371
0,2850,0.003630467
0,2865,0.003575329
0,2880,0.003520947
0,2895,0.003467312
0,2910,0.003414416
0,2925,0.003362249
0,2940,0.003310805
0,2955,0.003260073
0,2970,0.003210046
0,2985,0.003160716
0,3000,0.003112073
0,3015,0.003064111
0,3030,0.00301682
0,3045,0.002970193
0,3060,0.002924222
0,3075,0.002878899
0,3090,0.002834216
0,3105,0.002790166
0,3120,0.00274674
0,3135,0.002703932
0,3150,0.002661732
0,3165,0.002620135
0,3180,0.002579133
0,3195,0.002538718
0,3210,0.002498883
0,3225,0.002459621
0,3240,0.002420924
0,3255,0.002382786
0,3270,0.0023452
0,3285,0.002308159
0,3300,0.002271655
0,3315,0.002235682
0,3330,0.002200234
0,3345,0.002165303
0,3360,0.002130883
0,3375,0.002096968
0,3390,0.002063551
0,3405,0.002030625
0,3420,0.001998184
0,3435,0.001966223
0,3450,0.001934734
