"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Paroxetine|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,2.530955E-05
0,6,0.0001924484
0,9,0.0005361058
0,12,0.001058196
0,15,0.001737024
0,18,0.002537801
0,21,0.003423424
0,24,0.00436036
0,27,0.005321002
0,30,0.006284009
0,33,0.007233677
0,36,0.008158949
0,39,0.009052425
0,42,0.009909478
0,45,0.01072755
0,48,0.01150557
0,51,0.01224356
0,54,0.01294228
0,57,0.01360301
0,60,0.01422734
0,63,0.01481708
0,66,0.0153741
0,69,0.01590034
0,72,0.0163977
0,75,0.01686802
0,78,0.01731307
0,81,0.01773453
0,84,0.01813399
0,87,0.0185129
0,90,0.01887267
0,93,0.01921454
0,96,0.01953971
0,99,0.01984926
0,102,0.02014418
0,105,0.02042541
0,108,0.02069378
0,111,0.02095006
0,114,0.02119499
0,117,0.02142919
0,120,0.02165329
0,123,0.02186782
0,126,0.0220733
0,129,0.0222702
0,132,0.02245895
0,135,0.02263994
0,138,0.02281355
0,141,0.02298011
0,144,0.02313993
0,147,0.02329332
0,150,0.02344055
0,153,0.02358186
0,156,0.02371749
0,159,0.02384767
0,162,0.02397259
0,165,0.02409247
0,168,0.02420746
0,171,0.02431776
0,174,0.02442351
0,177,0.02452488
0,180,0.024622
0,183,0.02471501
0,186,0.02480405
0,189,0.02488923
0,192,0.02497067
0,195,0.02504848
0,198,0.02512277
0,201,0.02519365
0,204,0.02526121
0,207,0.02532554
0,210,0.02538674
0,213,0.02544489
0,216,0.02550007
0,219,0.02555236
0,222,0.02560185
0,225,0.0256486
0,228,0.02569269
0,231,0.02573418
0,234,0.02577315
0,237,0.02580966
0,240,0.02584377
0,243,0.02587555
0,246,0.02590505
0,249,0.02593234
0,252,0.02595746
0,255,0.02598047
0,258,0.02600143
0,261,0.02602039
0,264,0.02603739
0,267,0.0260525
0,270,0.02606574
0,273,0.02607718
0,276,0.02608686
0,279,0.02609481
0,282,0.02610109
0,285,0.02610574
0,288,0.0261088
0,291,0.0261103
0,294,0.0261103
0,297,0.02610881
0,300,0.0261059
0,303,0.02610158
0,306,0.0260959
0,309,0.02608889
0,312,0.02608058
0,315,0.02607102
0,318,0.02606022
0,321,0.02604823
0,324,0.02603508
0,327,0.02602079
0,330,0.0260054
0,333,0.02598893
0,336,0.02597142
0,339,0.02595289
0,342,0.02593337
0,345,0.02591289
0,348,0.02589147
0,351,0.02586914
0,354,0.02584592
0,357,0.02582184
0,360,0.02579692
0,363,0.02577119
0,366,0.02574467
0,369,0.02571739
0,372,0.02568935
0,375,0.02566059
0,378,0.02563113
0,381,0.02560099
0,384,0.02557018
0,387,0.02553874
0,390,0.02550667
0,393,0.02547399
0,396,0.02544073
0,399,0.02540691
0,402,0.02537253
0,405,0.02533762
0,408,0.0253022
0,411,0.02526628
0,414,0.02522988
0,417,0.02519301
0,420,0.02515569
0,423,0.02511794
0,426,0.02507976
0,429,0.02504118
0,432,0.02500221
0,435,0.02496286
0,438,0.02492314
0,441,0.02488308
0,444,0.02484268
0,447,0.02480195
0,450,0.0247609
0,453,0.02471956
0,456,0.02467793
0,459,0.02463602
0,462,0.02459384
0,465,0.02455141
0,468,0.02450873
0,471,0.02446582
0,474,0.02442268
0,477,0.02437934
0,480,0.02433578
0,483,0.02429204
0,486,0.0242481
0,489,0.024204
0,492,0.02415972
0,495,0.02411528
0,498,0.0240707
0,501,0.02402597
0,504,0.02398111
0,507,0.02393612
0,510,0.02389102
0,513,0.0238458
0,516,0.02380048
0,519,0.02375507
0,522,0.02370956
0,525,0.02366397
0,528,0.0236183
0,531,0.02357257
0,534,0.02352677
0,537,0.02348091
0,540,0.023435
0,543,0.02338904
0,546,0.02334305
0,549,0.02329701
0,552,0.02325095
0,555,0.02320487
0,558,0.02315876
0,561,0.02311264
0,564,0.02306651
0,567,0.02302037
0,570,0.02297424
0,573,0.0229281
0,576,0.02288198
0,579,0.02283586
0,582,0.02278976
0,585,0.02274369
0,588,0.02269763
0,591,0.0226516
0,594,0.02260561
0,597,0.02255964
0,600,0.02251372
0,603,0.02246783
0,606,0.022422
0,609,0.0223762
0,612,0.02233046
0,615,0.02228477
0,618,0.02223913
0,621,0.02219356
0,624,0.02214804
0,627,0.02210259
0,630,0.02205721
0,633,0.02201189
0,636,0.02196664
0,639,0.02192147
0,642,0.02187637
0,645,0.02183135
0,648,0.02178641
0,651,0.02174155
0,654,0.02169677
0,657,0.02165208
0,660,0.02160747
0,663,0.02156295
0,666,0.02151852
0,669,0.02147418
0,672,0.02142994
0,675,0.02138579
0,678,0.02134173
0,681,0.02129777
